"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2472359799476079259",="2472359799474079259","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:29:49","2022-02-16 10:29:56"
="2471672882863736264",="2471672882862736264","【暖春价】Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443005340",="null","296.03","296.03","没有申请退款","无退款申请","2022-02-16 10:20:50","2022-02-16 10:20:55"
="2471672882864736264",="2471672882862736264","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:20:50","2022-02-16 10:20:55"
="2471331025118055126",="2471331025117055126","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443002042",="null","136.74","136.74","退款成功","136.74","2022-02-16 10:17:52","2022-02-16 10:17:55"
="2471331025119055126",="2471331025117055126","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","交易关闭","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:17:52","2022-02-16 10:17:55"
="2472316527113114842",="2472316527112114842","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","178.47","178.47","没有申请退款","无退款申请","2022-02-16 10:04:46","2022-02-16 10:04:52"
="2472316527114114842",="2472316527112114842","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:04:46","2022-02-16 10:04:52"
="1489328042641986995",="1489328042640986995","【暖春价】lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102070","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443102070",="null","268.93","268.93","没有申请退款","无退款申请","2022-02-16 09:54:10","2022-02-16 09:54:24"
="1489328042642986995",="1489328042640986995","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 09:54:10","2022-02-16 09:54:24"
="2472281823372395162",="2472281823371395162","【暖春价】lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102070","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443102070",="null","263.23","263.23","没有申请退款","无退款申请","2022-02-16 09:40:40","2022-02-16 09:40:47"
="2472281823373395162",="2472281823371395162","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 09:40:40","2022-02-16 09:40:47"
="2471235949415059402",="2471235949415059402","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443004084","颜色分类：粉红色 （四季通用款）1.0TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","卖家已发货，等待买家确认","9343443004084",="null","335.85","335.85","没有申请退款","无退款申请","2022-02-16 09:10:27","2022-02-16 09:10:31"
="1489294994414037176",="1489294994414037176","【暖春价】Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443005340","颜色分类：灰色星月 (竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443005340",="null","276.52","276.52","没有申请退款","无退款申请","2022-02-16 08:54:58","2022-02-16 08:55:04"
="2472204783590062724",="2472204783590062724","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443002042",="null","161.16","161.16","退款成功","161.16","2022-02-16 08:32:28","2022-02-16 08:46:53"
="2471196961701233609",="2471196961701233609","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443000376",="null","257.42","257.42","退款成功","257.42","2022-02-16 08:30:56","2022-02-16 08:31:01"
