"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2457283320038403803",="2457283320038403803","lovetodream婴儿宝宝独立睡眠期冬季加厚保暖款睡袋防踢被","569.00","1","9343443003773","颜色分类：浅紫色（秋冬保暖款）2.5TOG;长度：【建议大一码】Size 0-1：6-18个月（小于86cm）","null","null","卖家已发货，等待买家确认","9343443003773",="null","367.56","367.56","没有申请退款","无退款申请","2022-02-09 15:18:39","2022-02-09 15:18:59"
="2458732682416283562",="2458732682416283562","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005951",="null","157.57","157.57","没有申请退款","无退款申请","2022-02-09 15:15:36","2022-02-09 15:15:41"
="2457266976547422247",="2457266976547422247","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005951",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-09 15:11:15","2022-02-09 15:11:23"
="2458718894687722318",="2458718894687722318","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","282.20","261.04","没有申请退款","无退款申请","2022-02-09 15:09:03","2022-02-09 15:09:11"
="2458713170456254873",="2458713170456254873","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-09 15:05:35","2022-02-10 09:59:41"
="2459306199057731600",="2459306199057731600","lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102070","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】M码：6-8.5kg（约3-6个月）","null","null","卖家已发货，等待买家确认","9343443102070",="null","278.30","257.43","没有申请退款","无退款申请","2022-02-09 14:57:10","2022-02-09 14:58:26"
="2458693406353690114",="2458693406353690114","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002264","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","交易成功","9343443002264",="null","133.63","123.61","没有申请退款","无退款申请","2022-02-09 14:54:51","2022-02-09 14:54:55"
="2457231912558690114",="2457231912558690114","lovetodream婴儿襁褓期睡袋防踢被防惊跳投降式睡姿四季通用","439.00","1","9343443000444","颜色分类：奶白色（有机棉四季通用款）1.0TOG-非设计师系列;长度：【预售10.28号发货 尺码详询客服】L码：8.5-11kg (约至6个月)","null","null","卖家已发货，等待买家确认","9343443000444",="null","266.52","246.54","没有申请退款","无退款申请","2022-02-09 14:53:54","2022-02-09 14:54:01"
="2457192456256004930",="2457192456256004930","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","卖家已发货，等待买家确认","9343443000840",="null","326.00","301.55","没有申请退款","无退款申请","2022-02-09 14:32:46","2022-02-09 14:32:49"
="2458288045150810056",="2458288045150810056","lovetodream婴儿睡袋一体式分腿宝宝睡袋防踢被连体睡袋哈衣爬服","329.00","1","9343443100663","颜色分类：兔子花色;长度：【尺码详询客服】XL码：11-14kg (约12-18个月)","null","null","卖家已发货，等待买家确认","9343443100663",="null","254.78","254.78","没有申请退款","无退款申请","2022-02-09 14:27:47","2022-02-09 14:28:07"
